,id,date,store_nbr,family,sales,onpromotion
1045525,1045525,2014-08-11,44.0,LADIESWEAR,0.0,0.0
1045526,1045526,2014-08-11,44.0,LAWN AND GARDEN,10.0,0.0
1045527,1045527,2014-08-11,44.0,LINGERIE,13.0,0.0
1045528,"1045528,2014-08-11,44,""LIQUOR,WINE,BEER"",209.0,0",,,,,
1045529,1045529,2014-08-11,44.0,MAGAZINES,0.0,0.0
1045530,1045530,2014-08-11,44.0,MEATS,776.267,0.0
1045531,1045531,2014-08-11,44.0,PERSONAL CARE,481.0,1.0
1045532,1045532,2014-08-11,44.0,PET SUPPLIES,0.0,0.0
1045533,1045533,2014-08-11,44.0,PLAYERS AND ELECTRONICS,0.0,0.0
1045534,1045534,2014-08-11,44.0,POULTRY,1227.506,0.0
1045535,1045535,2014-08-11,44.0,PREPARED FOODS,432.974,0.0
1045536,1045536,2014-08-11,44.0,PRODUCE,7.0,0.0
1045537,1045537,2014-08-11,44.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
1045538,1045538,2014-08-11,44.0,SEAFOOD,96.923004,0.0
1045539,1045539,2014-08-11,45.0,AUTOMOTIVE,17.0,0.0
1045540,1045540,2014-08-11,45.0,BABY CARE,0.0,0.0
1045541,1045541,2014-08-11,45.0,BEAUTY,7.0,0.0
1045542,1045542,2014-08-11,45.0,BEVERAGES,2620.0,2.0
1045543,1045543,2014-08-11,45.0,BOOKS,0.0,0.0
1045544,1045544,2014-08-11,45.0,BREAD/BAKERY,1222.513,1.0
1045545,1045545,2014-08-11,45.0,CELEBRATION,0.0,0.0
1045546,1045546,2014-08-11,45.0,CLEANING,2203.0,5.0
1045547,1045547,2014-08-11,45.0,DAIRY,1738.0,5.0
1045548,1045548,2014-08-11,45.0,DELI,565.832,0.0
1045549,1045549,2014-08-11,45.0,EGGS,429.0,0.0
1045550,1045550,2014-08-11,45.0,FROZEN FOODS,352.839,1.0
1045551,1045551,2014-08-11,45.0,GROCERY I,7520.0,15.0
1045552,1045552,2014-08-11,45.0,GROCERY II,95.0,0.0
1045553,1045553,2014-08-11,45.0,HARDWARE,0.0,0.0
1045554,1045554,2014-08-11,45.0,HOME AND KITCHEN I,0.0,0.0
1045555,1045555,2014-08-11,45.0,HOME AND KITCHEN II,0.0,0.0
1045556,1045556,2014-08-11,45.0,HOME APPLIANCES,4.0,0.0
1045557,1045557,2014-08-11,45.0,HOME CARE,0.0,0.0
1045558,1045558,2014-08-11,45.0,LADIESWEAR,0.0,0.0
1045559,1045559,2014-08-11,45.0,LAWN AND GARDEN,7.0,0.0
1045560,1045560,2014-08-11,45.0,LINGERIE,7.0,0.0
1045561,"1045561,2014-08-11,45,""LIQUOR,WINE,BEER"",91.0,0",,,,,
1045562,1045562,2014-08-11,45.0,MAGAZINES,0.0,0.0
1045563,1045563,2014-08-11,45.0,MEATS,950.915,0.0
1045564,1045564,2014-08-11,45.0,PERSONAL CARE,577.0,0.0
1045565,1045565,2014-08-11,45.0,PET SUPPLIES,0.0,0.0
1045566,1045566,2014-08-11,45.0,PLAYERS AND ELECTRONICS,0.0,0.0
1045567,1045567,2014-08-11,45.0,POULTRY,1398.224,0.0
1045568,1045568,2014-08-11,45.0,PREPARED FOODS,240.153,0.0
1045569,1045569,2014-08-11,45.0,PRODUCE,17.0,0.0
1045570,1045570,2014-08-11,45.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
1045571,1045571,2014-08-11,45.0,SEAFOOD,96.742,0.0
1045572,1045572,2014-08-11,46.0,AUTOMOTIVE,9.0,0.0
1045573,1045573,2014-08-11,46.0,BABY CARE,0.0,0.0
1045574,1045574,2014-08-11,46.0,BEAUTY,6.0,0.0
1045575,1045575,2014-08-11,46.0,BEVERAGES,1972.0,2.0
1045576,1045576,2014-08-11,46.0,BOOKS,0.0,0.0
1045577,1045577,2014-08-11,46.0,BREAD/BAKERY,935.462,1.0
1045578,1045578,2014-08-11,46.0,CELEBRATION,0.0,0.0
1045579,1045579,2014-08-11,46.0,CLEANING,1744.0,4.0
1045580,1045580,2014-08-11,46.0,DAIRY,1479.0,1.0
1045581,1045581,2014-08-11,46.0,DELI,881.361,0.0
1045582,1045582,2014-08-11,46.0,EGGS,189.0,0.0
1045583,1045583,2014-08-11,46.0,FROZEN FOODS,212.0,1.0
1045584,1045584,2014-08-11,46.0,GROCERY I,6652.0,9.0
1045585,1045585,2014-08-11,46.0,GROCERY II,49.0,0.0
1045586,1045586,2014-08-11,46.0,HARDWARE,0.0,0.0
1045587,1045587,2014-08-11,46.0,HOME AND KITCHEN I,0.0,0.0
1045588,1045588,2014-08-11,46.0,HOME AND KITCHEN II,0.0,0.0
1045589,1045589,2014-08-11,46.0,HOME APPLIANCES,4.0,0.0
1045590,1045590,2014-08-11,46.0,HOME CARE,0.0,0.0
1045591,1045591,2014-08-11,46.0,LADIESWEAR,0.0,0.0
1045592,1045592,2014-08-11,46.0,LAWN AND GARDEN,3.0,0.0
1045593,1045593,2014-08-11,46.0,LINGERIE,5.0,0.0
1045594,"1045594,2014-08-11,46,""LIQUOR,WINE,BEER"",98.0,0",,,,,
1045595,1045595,2014-08-11,46.0,MAGAZINES,0.0,0.0
1045596,1045596,2014-08-11,46.0,MEATS,1035.821,0.0
1045597,1045597,2014-08-11,46.0,PERSONAL CARE,592.0,0.0
1045598,1045598,2014-08-11,46.0,PET SUPPLIES,0.0,0.0
1045599,1045599,2014-08-11,46.0,PLAYERS AND ELECTRONICS,0.0,0.0
1045600,1045600,2014-08-11,46.0,POULTRY,827.852,0.0
1045601,1045601,2014-08-11,46.0,PREPARED FOODS,196.615,0.0
1045602,1045602,2014-08-11,46.0,PRODUCE,0.0,0.0
1045603,1045603,2014-08-11,46.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
1045604,1045604,2014-08-11,46.0,SEAFOOD,31.57,0.0
1045605,1045605,2014-08-11,47.0,AUTOMOTIVE,25.0,0.0
1045606,1045606,2014-08-11,47.0,BABY CARE,0.0,0.0
1045607,1045607,2014-08-11,47.0,BEAUTY,5.0,0.0
1045608,1045608,2014-08-11,47.0,BEVERAGES,2831.0,3.0
1045609,1045609,2014-08-11,47.0,BOOKS,0.0,0.0
1045610,1045610,2014-08-11,47.0,BREAD/BAKERY,1010.839,2.0
1045611,1045611,2014-08-11,47.0,CELEBRATION,0.0,0.0
1045612,1045612,2014-08-11,47.0,CLEANING,2058.0,4.0
1045613,1045613,2014-08-11,47.0,DAIRY,1521.0,1.0
1045614,1045614,2014-08-11,47.0,DELI,525.094,0.0
1045615,1045615,2014-08-11,47.0,EGGS,368.0,0.0
1045616,1045616,2014-08-11,47.0,FROZEN FOODS,260.772,1.0
1045617,1045617,2014-08-11,47.0,GROCERY I,7383.0,11.0
1045618,1045618,2014-08-11,47.0,GROCERY II,52.0,0.0
1045619,1045619,2014-08-11,47.0,HARDWARE,0.0,0.0
1045620,1045620,2014-08-11,47.0,HOME AND KITCHEN I,0.0,0.0
1045621,1045621,2014-08-11,47.0,HOME AND KITCHEN II,0.0,0.0
1045622,1045622,2014-08-11,47.0,HOME APPLIANCES,2.0,0.0
1045623,1045623,2014-08-11,47.0,HOME CARE,0.0,0.0
1045624,1045624,2014-08-11,47.0,LADIESWEAR,0.0,0.0
1045625,1045625,2014-08-11,47.0,LAWN AND GARDEN,11.0,0.0
1045626,1045626,2014-08-11,47.0,LINGERIE,4.0,0.0
1045627,"1045627,2014-08-11,47,""LIQUOR,WINE,BEER"",54.0,0",,,,,
1045628,1045628,2014-08-11,47.0,MAGAZINES,0.0,0.0
1045629,1045629,2014-08-11,47.0,MEATS,859.372,1.0
1045630,1045630,2014-08-11,47.0,PERSONAL CARE,597.0,0.0
1045631,1045631,2014-08-11,47.0,PET SUPPLIES,0.0,0.0
1045632,1045632,2014-08-11,47.0,PLAYERS AND ELECTRONICS,0.0,0.0
1045633,1045633,2014-08-11,47.0,POULTRY,1084.822,0.0
1045634,1045634,2014-08-11,47.0,PREPARED FOODS,263.494,0.0
1045635,1045635,2014-08-11,47.0,PRODUCE,1.0,0.0
1045636,1045636,2014-08-11,47.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
1045637,1045637,2014-08-11,47.0,SEAFOOD,70.349,0.0
1045638,1045638,2014-08-11,48.0,AUTOMOTIVE,21.0,0.0
1045639,1045639,2014-08-11,48.0,BABY CARE,0.0,0.0
1045640,1045640,2014-08-11,48.0,BEAUTY,6.0,0.0
1045641,1045641,2014-08-11,48.0,BEVERAGES,1529.0,3.0
1045642,1045642,2014-08-11,48.0,BOOKS,0.0,0.0
1045643,1045643,2014-08-11,48.0,BREAD/BAKERY,473.013,0.0
1045644,1045644,2014-08-11,48.0,CELEBRATION,0.0,0.0
1045645,1045645,2014-08-11,48.0,CLEANING,1726.0,2.0
1045646,1045646,2014-08-11,48.0,DAIRY,1012.0,0.0
1045647,1045647,2014-08-11,48.0,DELI,546.255,0.0
1045648,1045648,2014-08-11,48.0,EGGS,126.0,0.0
1045649,1045649,2014-08-11,48.0,FROZEN FOODS,174.606,1.0
1045650,1045650,2014-08-11,48.0,GROCERY I,5915.0,9.0
1045651,1045651,2014-08-11,48.0,GROCERY II,36.0,0.0
1045652,1045652,2014-08-11,48.0,HARDWARE,1.0,0.0
1045653,1045653,2014-08-11,48.0,HOME AND KITCHEN I,0.0,0.0
1045654,1045654,2014-08-11,48.0,HOME AND KITCHEN II,0.0,0.0
1045655,1045655,2014-08-11,48.0,HOME APPLIANCES,1.0,0.0
1045656,1045656,2014-08-11,48.0,HOME CARE,0.0,0.0
1045657,1045657,2014-08-11,48.0,LADIESWEAR,0.0,0.0
1045658,1045658,2014-08-11,48.0,LAWN AND GARDEN,4.0,0.0
1045659,1045659,2014-08-11,48.0,LINGERIE,5.0,0.0
1045660,"1045660,2014-08-11,48,""LIQUOR,WINE,BEER"",58.0,0",,,,,
1045661,1045661,2014-08-11,48.0,MAGAZINES,0.0,0.0
1045662,1045662,2014-08-11,48.0,MEATS,670.744,0.0
1045663,1045663,2014-08-11,48.0,PERSONAL CARE,585.0,1.0
1045664,1045664,2014-08-11,48.0,PET SUPPLIES,0.0,0.0
1045665,1045665,2014-08-11,48.0,PLAYERS AND ELECTRONICS,0.0,0.0
1045666,1045666,2014-08-11,48.0,POULTRY,804.092,2.0
1045667,1045667,2014-08-11,48.0,PREPARED FOODS,100.17,0.0
1045668,1045668,2014-08-11,48.0,PRODUCE,0.0,0.0
1045669,1045669,2014-08-11,48.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
1045670,1045670,2014-08-11,48.0,SEAFOOD,28.096,0.0
1045671,1045671,2014-08-11,49.0,AUTOMOTIVE,9.0,0.0
1045672,1045672,2014-08-11,49.0,BABY CARE,0.0,0.0
1045673,1045673,2014-08-11,49.0,BEAUTY,8.0,0.0
1045674,1045674,2014-08-11,49.0,BEVERAGES,2274.0,2.0
1045675,1045675,2014-08-11,49.0,BOOKS,0.0,0.0
1045676,1045676,2014-08-11,49.0,BREAD/BAKERY,782.484,1.0
1045677,1045677,2014-08-11,49.0,CELEBRATION,0.0,0.0
1045678,1045678,2014-08-11,49.0,CLEANING,1532.0,2.0
1045679,1045679,2014-08-11,49.0,DAIRY,1380.0,1.0
1045680,1045680,2014-08-11,49.0,DELI,299.297,0.0
1045681,1045681,2014-08-11,49.0,EGGS,389.0,0.0
1045682,1045682,2014-08-11,49.0,FROZEN FOODS,279.629,1.0
1045683,1045683,2014-08-11,49.0,GROCERY I,5328.0,12.0
1045684,1045684,2014-08-11,49.0,GROCERY II,50.0,0.0
1045685,1045685,2014-08-11,49.0,HARDWARE,1.0,0.0
1045686,1045686,2014-08-11,49.0,HOME AND KITCHEN I,0.0,0.0
1045687,1045687,2014-08-11,49.0,HOME AND KITCHEN II,0.0,0.0
1045688,1045688,2014-08-11,49.0,HOME APPLIANCES,1.0,0.0
1045689,1045689,2014-08-11,49.0,HOME CARE,0.0,0.0
1045690,1045690,2014-08-11,49.0,LADIESWEAR,0.0,0.0
1045691,1045691,2014-08-11,49.0,LAWN AND GARDEN,10.0,0.0
1045692,1045692,2014-08-11,49.0,LINGERIE,12.0,0.0
1045693,"1045693,2014-08-11,49,""LIQUOR,WINE,BEER"",144.0,0",,,,,
1045694,1045694,2014-08-11,49.0,MAGAZINES,0.0,0.0
1045695,1045695,2014-08-11,49.0,MEATS,533.568,0.0
1045696,1045696,2014-08-11,49.0,PERSONAL CARE,343.0,0.0
1045697,1045697,2014-08-11,49.0,PET SUPPLIES,0.0,0.0
1045698,1045698,2014-08-11,49.0,PLAYERS AND ELECTRONICS,0.0,0.0
1045699,1045699,2014-08-11,49.0,POULTRY,742.029,1.0
1045700,1045700,2014-08-11,49.0,PREPARED FOODS,303.865,0.0
1045701,1045701,2014-08-11,49.0,PRODUCE,1.0,0.0
1045702,1045702,2014-08-11,49.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
1045703,1045703,2014-08-11,49.0,SEAFOOD,70.26,0.0
1045704,1045704,2014-08-11,5.0,AUTOMOTIVE,2.0,0.0
1045705,1045705,2014-08-11,5.0,BABY CARE,0.0,0.0
1045706,1045706,2014-08-11,5.0,BEAUTY,6.0,0.0
1045707,1045707,2014-08-11,5.0,BEVERAGES,942.0,2.0
1045708,1045708,2014-08-11,5.0,BOOKS,0.0,0.0
1045709,1045709,2014-08-11,5.0,BREAD/BAKERY,532.843,0.0
1045710,1045710,2014-08-11,5.0,CELEBRATION,0.0,0.0
1045711,1045711,2014-08-11,5.0,CLEANING,1073.0,2.0
1045712,1045712,2014-08-11,5.0,DAIRY,624.0,3.0
1045713,1045713,2014-08-11,5.0,DELI,255.2,1.0
1045714,1045714,2014-08-11,5.0,EGGS,140.0,0.0
1045715,1045715,2014-08-11,5.0,FROZEN FOODS,121.0,1.0
1045716,1045716,2014-08-11,5.0,GROCERY I,3207.0,9.0
1045717,1045717,2014-08-11,5.0,GROCERY II,24.0,0.0
1045718,1045718,2014-08-11,5.0,HARDWARE,2.0,0.0
1045719,1045719,2014-08-11,5.0,HOME AND KITCHEN I,0.0,0.0
1045720,1045720,2014-08-11,5.0,HOME AND KITCHEN II,0.0,0.0
1045721,1045721,2014-08-11,5.0,HOME APPLIANCES,0.0,0.0
1045722,1045722,2014-08-11,5.0,HOME CARE,0.0,0.0
1045723,1045723,2014-08-11,5.0,LADIESWEAR,0.0,0.0
1045724,1045724,2014-08-11,5.0,LAWN AND GARDEN,0.0,0.0
1045725,1045725,2014-08-11,5.0,LINGERIE,16.0,0.0
1045726,"1045726,2014-08-11,5,""LIQUOR,WINE,BEER"",46.0,0",,,,,
1045727,1045727,2014-08-11,5.0,MAGAZINES,0.0,0.0
1045728,1045728,2014-08-11,5.0,MEATS,345.202,0.0
1045729,1045729,2014-08-11,5.0,PERSONAL CARE,257.0,1.0
1045730,1045730,2014-08-11,5.0,PET SUPPLIES,0.0,0.0
1045731,1045731,2014-08-11,5.0,PLAYERS AND ELECTRONICS,0.0,0.0
1045732,1045732,2014-08-11,5.0,POULTRY,279.415,0.0
1045733,1045733,2014-08-11,5.0,PREPARED FOODS,110.0,0.0
1045734,1045734,2014-08-11,5.0,PRODUCE,2.0,0.0
1045735,1045735,2014-08-11,5.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
1045736,1045736,2014-08-11,5.0,SEAFOOD,16.496,0.0
1045737,1045737,2014-08-11,50.0,AUTOMOTIVE,11.0,0.0
1045738,1045738,2014-08-11,50.0,BABY CARE,0.0,0.0
1045739,1045739,2014-08-11,50.0,BEAUTY,3.0,0.0
1045740,1045740,2014-08-11,50.0,BEVERAGES,1499.0,2.0
1045741,1045741,2014-08-11,50.0,BOOKS,0.0,0.0
1045742,1045742,2014-08-11,50.0,BREAD/BAKERY,511.063,1.0
1045743,1045743,2014-08-11,50.0,CELEBRATION,0.0,0.0
1045744,1045744,2014-08-11,50.0,CLEANING,1302.0,2.0
1045745,1045745,2014-08-11,50.0,DAIRY,873.0,1.0
1045746,1045746,2014-08-11,50.0,DELI,392.932,0.0
1045747,1045747,2014-08-11,50.0,EGGS,137.0,0.0
1045748,1045748,2014-08-11,50.0,FROZEN FOODS,131.943,2.0
1045749,1045749,2014-08-11,50.0,GROCERY I,4915.0,10.0
1045750,1045750,2014-08-11,50.0,GROCERY II,19.0,0.0
1045751,1045751,2014-08-11,50.0,HARDWARE,0.0,0.0
1045752,1045752,2014-08-11,50.0,HOME AND KITCHEN I,0.0,0.0
1045753,1045753,2014-08-11,50.0,HOME AND KITCHEN II,0.0,0.0
1045754,1045754,2014-08-11,50.0,HOME APPLIANCES,1.0,0.0
1045755,1045755,2014-08-11,50.0,HOME CARE,0.0,0.0
1045756,1045756,2014-08-11,50.0,LADIESWEAR,0.0,0.0
1045757,1045757,2014-08-11,50.0,LAWN AND GARDEN,3.0,0.0
1045758,1045758,2014-08-11,50.0,LINGERIE,1.0,0.0
1045759,"1045759,2014-08-11,50,""LIQUOR,WINE,BEER"",46.0,0",,,,,
1045760,1045760,2014-08-11,50.0,MAGAZINES,0.0,0.0
1045761,1045761,2014-08-11,50.0,MEATS,451.986,0.0
1045762,1045762,2014-08-11,50.0,PERSONAL CARE,387.0,0.0
1045763,1045763,2014-08-11,50.0,PET SUPPLIES,0.0,0.0
1045764,1045764,2014-08-11,50.0,PLAYERS AND ELECTRONICS,0.0,0.0
1045765,1045765,2014-08-11,50.0,POULTRY,590.305,0.0
1045766,1045766,2014-08-11,50.0,PREPARED FOODS,109.33,0.0
1045767,1045767,2014-08-11,50.0,PRODUCE,2.0,0.0
1045768,1045768,2014-08-11,50.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
1045769,1045769,2014-08-11,50.0,SEAFOOD,32.248,0.0
1045770,1045770,2014-08-11,51.0,AUTOMOTIVE,5.0,0.0
1045771,1045771,2014-08-11,51.0,BABY CARE,0.0,0.0
1045772,1045772,2014-08-11,51.0,BEAUTY,3.0,0.0
1045773,1045773,2014-08-11,51.0,BEVERAGES,2167.0,1.0
1045774,1045774,2014-08-11,51.0,BOOKS,0.0,0.0
1045775,1045775,2014-08-11,51.0,BREAD/BAKERY,710.135,0.0
1045776,1045776,2014-08-11,51.0,CELEBRATION,0.0,0.0
1045777,1045777,2014-08-11,51.0,CLEANING,1178.0,0.0
1045778,1045778,2014-08-11,51.0,DAIRY,1306.0,1.0
1045779,1045779,2014-08-11,51.0,DELI,220.908,0.0
1045780,1045780,2014-08-11,51.0,EGGS,286.0,0.0
1045781,1045781,2014-08-11,51.0,FROZEN FOODS,171.495,0.0
1045782,1045782,2014-08-11,51.0,GROCERY I,4181.0,10.0
1045783,1045783,2014-08-11,51.0,GROCERY II,44.0,0.0
1045784,1045784,2014-08-11,51.0,HARDWARE,0.0,0.0
1045785,1045785,2014-08-11,51.0,HOME AND KITCHEN I,0.0,0.0
1045786,1045786,2014-08-11,51.0,HOME AND KITCHEN II,0.0,0.0
1045787,1045787,2014-08-11,51.0,HOME APPLIANCES,1.0,0.0
1045788,1045788,2014-08-11,51.0,HOME CARE,0.0,0.0
1045789,1045789,2014-08-11,51.0,LADIESWEAR,0.0,0.0
1045790,1045790,2014-08-11,51.0,LAWN AND GARDEN,18.0,0.0
1045791,1045791,2014-08-11,51.0,LINGERIE,1.0,0.0
1045792,"1045792,2014-08-11,51,""LIQUOR,WINE,BEER"",54.0,0",,,,,
1045793,1045793,2014-08-11,51.0,MAGAZINES,0.0,0.0
1045794,1045794,2014-08-11,51.0,MEATS,549.402,0.0
1045795,1045795,2014-08-11,51.0,PERSONAL CARE,223.0,1.0
1045796,1045796,2014-08-11,51.0,PET SUPPLIES,0.0,0.0
1045797,1045797,2014-08-11,51.0,PLAYERS AND ELECTRONICS,0.0,0.0
1045798,1045798,2014-08-11,51.0,POULTRY,673.115,0.0
1045799,1045799,2014-08-11,51.0,PREPARED FOODS,182.638,0.0
1045800,1045800,2014-08-11,51.0,PRODUCE,2.0,0.0
1045801,1045801,2014-08-11,51.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
1045802,1045802,2014-08-11,51.0,SEAFOOD,64.983,0.0
1045803,1045803,2014-08-11,52.0,AUTOMOTIVE,0.0,0.0
1045804,1045804,2014-08-11,52.0,BABY CARE,0.0,0.0
1045805,1045805,2014-08-11,52.0,BEAUTY,0.0,0.0
1045806,1045806,2014-08-11,52.0,BEVERAGES,0.0,0.0
1045807,1045807,2014-08-11,52.0,BOOKS,0.0,0.0
1045808,1045808,2014-08-11,52.0,BREAD/BAKERY,0.0,0.0
1045809,1045809,2014-08-11,52.0,CELEBRATION,0.0,0.0
1045810,1045810,2014-08-11,52.0,CLEANING,0.0,0.0
1045811,1045811,2014-08-11,52.0,DAIRY,0.0,0.0
1045812,1045812,2014-08-11,52.0,DELI,0.0,0.0
1045813,1045813,2014-08-11,52.0,EGGS,0.0,0.0
1045814,1045814,2014-08-11,52.0,FROZEN FOODS,0.0,0.0
1045815,1045815,2014-08-11,52.0,GROCERY I,0.0,0.0
1045816,1045816,2014-08-11,52.0,GROCERY II,0.0,0.0
1045817,1045817,2014-08-11,52.0,HARDWARE,0.0,0.0
1045818,1045818,2014-08-11,52.0,HOME AND KITCHEN I,0.0,0.0
1045819,1045819,2014-08-11,52.0,HOME AND KITCHEN II,0.0,0.0
1045820,1045820,2014-08-11,52.0,HOME APPLIANCES,0.0,0.0
1045821,1045821,2014-08-11,52.0,HOME CARE,0.0,0.0
1045822,1045822,2014-08-11,52.0,LADIESWEAR,0.0,0.0
1045823,1045823,2014-08-11,52.0,LAWN AND GARDEN,0.0,0.0
1045824,1045824,2014-08-11,52.0,LINGERIE,0.0,0.0
1045825,"1045825,2014-08-11,52,""LIQUOR,WINE,BEER"",0.0,0",,,,,
1045826,1045826,2014-08-11,52.0,MAGAZINES,0.0,0.0
1045827,1045827,2014-08-11,52.0,MEATS,0.0,0.0
1045828,1045828,2014-08-11,52.0,PERSONAL CARE,0.0,0.0
1045829,1045829,2014-08-11,52.0,PET SUPPLIES,0.0,0.0
1045830,1045830,2014-08-11,52.0,PLAYERS AND ELECTRONICS,0.0,0.0
1045831,1045831,2014-08-11,52.0,POULTRY,0.0,0.0
1045832,1045832,2014-08-11,52.0,PREPARED FOODS,0.0,0.0
1045833,1045833,2014-08-11,52.0,PRODUCE,0.0,0.0
1045834,1045834,2014-08-11,52.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
1045835,1045835,2014-08-11,52.0,SEAFOOD,0.0,0.0
1045836,1045836,2014-08-11,53.0,AUTOMOTIVE,3.0,0.0
1045837,1045837,2014-08-11,53.0,BABY CARE,0.0,0.0
1045838,1045838,2014-08-11,53.0,BEAUTY,1.0,0.0
1045839,1045839,2014-08-11,53.0,BEVERAGES,460.0,0.0
1045840,1045840,2014-08-11,53.0,BOOKS,0.0,0.0
1045841,1045841,2014-08-11,53.0,BREAD/BAKERY,369.872,0.0
