variance,skewness,curtosis,entropy,class
-5.3012,7.3915,0.029699,-7.3987,1
2.5989,3.5178,0.7623,0.81119,0
5.7823,5.5788,-2.4089,-0.056479,0
-1.8554,-9.6035,7.7764,-0.97716,1
0.55298,-3.4619,1.7048,1.1008,1
-1.7263,-6.0237,5.2419,0.29524,1
-1.2244,1.7485,-1.4801,-1.4181,1
0.66191,9.6594,-0.28819,-1.6638,0
3.0672,-4.4117,3.8238,-0.81682,0
2.4235,9.5332,-3.0789,-2.7746,0
-0.76794,3.4598,-3.4405,-3.4276,1
2.1265,6.8783,0.44784,-2.2224,0
-1.7713,-10.7665,10.2184,-1.0043,1
1.7939,-1.1174,1.5454,-0.26079,0
1.6349,3.286,2.8753,0.087054,0
-0.47465,-4.3496,1.9901,0.7517,1
0.3292,-4.4552,4.5718,-0.9888,0
3.8644,3.7061,0.70403,0.35214,0
0.61652,3.8944,-4.7275,-4.3948,1
5.3915,9.9946,-3.8081,-3.3642,0
1.3518,1.0595,-2.3437,0.39998,1
-3.0201,-0.67253,2.7056,0.85774,1
2.5698,-4.4076,5.9856,0.078002,0
4.5645,-3.6275,2.8684,0.27714,0
1.9358,8.1654,-0.023425,-2.2586,0
0.9297,-3.7971,4.6429,-0.2957,0
3.5499,8.6165,-3.2794,-1.2009,0
-5.2406,6.6258,-0.19908,-6.8607,1
2.483,6.6155,-0.79287,-0.90863,0
0.50225,0.65388,-1.1793,0.39998,1
-2.1333,1.5685,-0.084261,-1.7453,1
-0.49948,1.7734,-2.2469,-0.68104,1
-2.0149,3.6874,-1.9385,-3.8918,1
-0.77848,3.4019,-3.4859,-3.5569,1
-0.9854,-6.661,5.8245,0.5461,1
-1.7015,-0.010356,-0.99337,-0.53104,1
-5.1216,-5.3118,10.3846,-1.0612,1
-0.2361,9.3221,2.1307,-4.3793,0
5.504,10.3671,-4.413,-4.0211,0
-0.17296,-1.1816,1.3818,0.7336,1
4.052,-0.16555,0.45383,0.51248,0
-0.36025,-4.449,2.1067,0.94308,1
-0.27802,8.1881,-3.1338,-2.5276,0
-0.21888,-2.2038,-0.0954,0.56421,1
-0.048008,-0.56078,7.7215,0.453,0
-2.565,-5.7899,6.0122,0.046968,1
0.29961,7.1328,-0.31475,-1.1828,0
3.9994,0.90427,1.1693,1.6892,0
-0.10648,-0.76771,7.7575,0.64179,0
-0.62043,0.5587,-0.38587,-0.66423,1
-2.1234,1.1815,-0.55552,-0.81165,1
-2.62,-6.8555,6.2169,-0.62285,1
4.6352,-3.0087,2.6773,1.212,0
0.64376,3.764,-4.4738,-4.0483,1
2.031,1.852,-3.0121,0.003003,1
-0.3489,3.1929,-3.4054,-3.1832,1
3.9102,6.065,-2.4534,-0.68234,0
-2.258,-9.3263,9.3727,-0.85949,1
-0.33729,-0.64976,7.6659,0.72326,0
1.7748,-0.76978,5.5854,1.3039,0
0.94225,5.8561,1.8762,-0.32544,0
3.4591,11.112,-4.2039,-5.0931,0
-0.61442,-0.091058,-0.31818,0.50214,1
1.762,4.3682,2.1384,0.75429,0
-1.8584,7.886,-1.6643,-1.8384,0
1.8384,6.063,0.54723,0.51248,0
1.0607,2.4542,2.5188,-0.17027,0
4.7285,2.1065,-0.28305,1.5625,0
-2.1802,3.3791,-1.2256,-2.6621,1
0.21084,9.4359,-0.094543,-1.859,0
3.0009,5.8126,-2.2306,-0.66553,0
-0.21661,8.0329,1.8848,-3.8853,0
-2.341,12.3784,0.70403,-7.5836,0
1.6426,3.0149,0.22849,-0.147,0
2.9736,8.7944,-3.6359,-1.3754,0
2.5503,-4.9518,6.3729,-0.41596,0
-3.2692,-12.7406,15.5573,-0.14182,1
1.2706,8.035,-0.19651,-2.1888,0
0.40614,1.3492,-1.4501,-0.55949,1
2.3729,10.4726,-3.0087,-3.2013,0
0.68087,2.3259,4.9085,0.54998,0
0.025013,3.3998,-4.4327,-4.2655,1
0.96788,7.1907,1.2798,-2.4565,0
-1.6662,-0.30005,1.4238,0.024986,1
1.3403,4.1323,-4.7018,-2.5987,1
1.6406,3.5488,1.3964,-0.36424,0
-2.121,-0.05588,1.949,1.353,1
1.5799,-4.7076,7.9186,-1.5487,0
-1.6706,-2.09,1.584,0.71162,1
1.8993,7.6625,0.15394,-3.1108,0
4.7072,8.2957,-2.5605,-1.4905,0
3.106,9.5414,-4.2536,-4.003,0
-1.3,10.2678,-2.953,-5.8638,0
2.3917,4.5565,-4.9888,-2.8987,1
0.5706,-0.0248,1.2421,-0.5621,0
-2.2083,-9.1069,8.9991,-0.28406,1
0.80355,2.8473,4.3439,0.6017,0
0.26517,2.4066,-2.8416,-0.59958,1
3.9899,-2.7066,2.3946,0.86291,0
0.65497,5.1815,1.0673,-0.42113,0
-3.1875,-7.5756,11.8678,-0.57889,1
2.4196,6.4665,-0.75688,0.228,0
-4.8426,-4.9932,10.4052,-0.53104,1
-3.6012,-6.5389,10.5234,-0.48967,1
1.5701,7.9129,0.29018,-2.1953,0
-0.77288,-7.4473,6.492,0.36119,1
-0.45062,-1.3678,7.0858,-0.40303,0
0.88444,6.5906,0.55837,-0.44182,0
-1.0802,2.1996,-2.5862,-1.2759,1
-0.36372,3.0439,-3.4816,-2.7836,1
2.614,8.0081,-3.7258,-1.3069,0
2.549,6.1499,-1.1605,-1.2371,0
4.2164,9.4607,-4.9288,-5.2366,0
-4.0025,-13.4979,17.6772,-3.3202,1
1.9429,6.3961,0.092248,0.58102,0
-1.4572,9.1214,1.7425,-5.1241,0
2.4527,2.9653,0.20021,-0.056479,0
-1.7697,3.4329,-1.2144,-2.3789,1
-2.9821,4.1986,-0.5898,-3.9642,1
0.92703,9.4318,-0.66263,-1.6728,0
-1.8387,-6.301,5.6506,0.19567,1
0.77805,6.6424,-1.1425,-1.0573,0
0.11686,3.735,-4.4379,-4.3741,1
0.89606,10.5471,-1.4175,-4.0327,0
-3.2238,2.7935,0.32274,-0.86078,1
-1.8187,-9.0366,9.0162,-0.12243,1
-2.2804,-0.30626,1.3347,1.3763,1
3.9719,1.0367,0.75973,1.0013,0
0.81583,4.84,-5.2613,-6.0823,1
-3.1158,-8.6289,10.4403,0.97153,1
-5.119,6.6486,-0.049987,-6.5206,1
1.4276,8.3847,-2.0995,-1.9677,0
2.4673,1.3926,1.7125,0.41421,0
3.4805,9.7008,-3.7541,-3.4379,0
1.518,5.6946,0.094818,-0.026738,0
-7.0364,9.2931,0.16594,-4.5396,1
2.0165,-0.25246,5.1707,1.0763,0
2.2504,3.5757,0.35273,0.2836,0
-4.1429,2.7749,0.68261,-0.71984,1
4.3064,8.2068,-2.7824,-1.4336,0
-2.3142,-0.68494,1.9833,-0.44829,1
1.3638,-4.7759,8.4182,-1.8836,0
-1.8439,-8.6475,7.6796,-0.66682,1
2.805,0.57732,1.3424,1.2133,0
2.093,8.3061,0.022844,-3.2724,0
1.5478,9.1814,-1.6326,-1.7375,0
0.5706,-0.0248,1.2421,-0.5621,0
0.3292,-4.4552,4.5718,-0.9888,0
-0.89542,2.0279,-2.3652,-1.2746,1
-0.28015,3.0729,-3.3857,-2.9155,1
3.1557,2.8908,0.59693,0.79825,0
5.3063,5.2684,-2.8904,-0.52716,0
5.2012,0.32694,0.17965,1.1797,0
1.5514,3.8013,-4.9143,-3.7483,1
5.4944,1.5478,0.041694,1.9284,0
-1.7976,-6.7686,6.6753,0.89912,1
5.7353,5.2808,-2.2598,0.075416,0
1.8533,6.1458,1.0176,-2.0401,0
5.2032,3.5116,-1.2538,1.0129,0
-4.7331,-6.1789,11.388,-1.0741,1
-0.71494,-4.4448,2.2241,0.49826,1
-0.8471,3.1329,-3.0112,-2.9388,1
-5.525,6.3258,0.89768,-6.6241,1
2.9742,8.96,-2.9024,-1.0379,0
2.7296,2.8701,0.51124,0.5099,0
-2.5961,-9.349,9.7942,-0.28018,1
-4.0218,-8.304,12.555,-1.5099,1
-0.82601,2.9611,-1.2864,-1.4647,1
-4.8861,7.0542,-0.17252,-6.959,1
2.9233,6.0464,-0.11168,-0.58665,0
-2.899,-0.60424,2.6045,1.3776,1
1.9265,7.7557,-0.16823,-3.0771,0
0.90407,3.3708,-4.4987,-3.6965,1
-0.41645,0.32487,-0.33617,-0.36036,1
-2.5919,-1.0553,3.8949,0.77757,1
-1.8584,7.886,-1.6643,-1.8384,0
4.8272,3.0687,0.68604,0.80731,0
2.3718,7.4908,0.015989,-1.7414,0
0.5415,6.0319,1.6825,-0.46122,0
-5.4414,7.2363,0.10938,-7.5642,1
3.7022,6.9942,-1.8511,-0.12889,0
-3.1423,-13.0365,15.6773,-0.66165,1
0.5734,9.1938,-0.9094,-1.872,0
-1.3946,2.3134,-0.44499,-1.4905,1
1.5099,0.039307,6.2332,-0.30346,0
4.2586,11.2962,-4.0943,-4.3457,0
-4.4861,-13.2889,17.3087,-3.2194,1
-0.78689,9.5663,-3.7867,-7.5034,0
2.2123,-5.8395,7.7687,-0.85302,0
-2.4365,3.6026,-1.4166,-2.8948,1
-2.1241,-6.8969,5.5992,-0.47156,1
2.5605,9.2683,-3.5913,-1.356,0
4.3435,3.3295,0.83598,0.64955,0
0.44125,2.9487,4.3225,0.7155,0
3.0333,-2.5928,2.3183,0.303,0
1.0117,0.9022,-2.3506,0.42714,1
1.9476,-4.7738,8.527,-1.8668,0
2.7659,0.66216,4.1494,-0.28406,0
3.5288,0.71596,1.9507,1.9375,0
2.8209,7.3108,-0.81857,-1.8784,0
3.4312,6.2637,-1.9513,-0.36165,0
-4.4779,7.3708,-0.31218,-6.7754,1
4.2756,-2.6528,2.1375,0.94437,0
-2.7143,11.4535,2.1092,-3.9629,0
3.9382,0.9291,0.78543,0.6767,0
-0.38388,-1.0471,8.0514,0.49567,0
-3.6817,3.2239,-0.69347,-3.4004,1
-5.0301,7.5032,-0.13396,-7.5034,1
-1.5449,-10.1498,9.6152,-1.2332,1
-1.1859,-1.2519,2.2635,0.77239,1
0.86816,10.2429,-1.4912,-4.0082,0
-1.5572,-9.8808,8.1088,-1.0806,1
-3.7573,-8.2916,10.3032,0.38059,1
3.7731,7.2073,-1.6814,-0.94742,0
3.8999,1.734,1.6011,0.96765,0
-3.3125,0.10139,0.55323,-0.2957,1
3.482,-4.1634,3.5008,-0.078462,0
-1.8348,11.0334,3.1863,-4.8888,0
-0.89409,3.1991,-1.8219,-2.9452,1
-2.2261,12.5398,2.9438,-3.5258,0
-0.1269,-1.1505,-0.95138,0.57843,1
-2.3797,-1.4402,1.1273,0.16076,1
0.87256,9.2931,-0.7843,-2.1978,0
-1.3971,3.3191,-1.3927,-1.9948,1
-2.0336,-1.4092,1.1582,0.36507,1
2.0962,2.4769,1.9379,-0.040962,0
-0.89809,-4.4862,2.2009,0.50731,1
-2.7914,1.7734,6.7756,-0.39915,0
1.0191,2.33,4.9334,0.82929,0
-1.7599,11.9211,2.6756,-3.3241,0
-1.4377,-1.432,2.1144,0.42067,1
1.3349,6.1189,0.46497,0.49826,0
-1.5681,-7.2446,6.5537,-0.1276,1
-1.7559,11.9459,3.0946,-4.8978,0
-0.7351,1.7361,-1.4938,-1.1582,1
4.4338,9.887,-4.6795,-3.7483,0
3.8962,-4.7904,3.3954,-0.53751,0
2.7391,7.4018,0.071684,-2.5302,0
4.1962,0.74493,0.83256,0.753,0
4.0102,10.6568,-4.1388,-5.0646,0
-2.2623,12.1177,0.28846,-7.7581,0
4.2458,1.1981,0.66633,0.94696,0
0.1848,6.5079,2.0133,-0.87242,0
-1.4375,-1.8624,4.026,0.55127,1
1.594,4.7055,1.3758,0.081882,0
2.9163,10.8306,-3.3437,-4.122,0
-4.1244,3.7909,-0.6532,-4.1802,1
0.58836,10.7727,-1.3884,-4.3276,0
3.7791,2.5762,1.3098,0.5655,0
-0.036127,1.525,-1.4089,-0.76121,1
2.4012,1.6223,3.0312,0.71679,0
3.4359,0.66216,2.1041,1.8922,0
3.2032,5.7588,-0.75345,-0.61251,0
4.65,-4.8297,3.4553,-0.25174,0
-2.3147,3.6668,-0.6969,-1.2474,1
-2.5084,-0.22763,1.488,1.2069,1
4.4069,10.9072,-4.5775,-4.4271,0
-3.7181,-8.5089,12.363,-0.95518,1
0.12126,0.22347,-0.47327,0.97024,1
-0.0068919,9.2931,-0.41243,-1.9638,0
6.0919,2.9673,-1.3267,1.4551,0
-0.025314,-0.17383,-0.11339,1.2198,1
2.5089,6.841,-0.029423,0.44912,0
-4.2932,3.3419,0.77258,-0.99785,1
2.2634,-4.4862,3.6558,-0.61251,0
-0.97325,-6.4168,5.6026,1.0323,1
0.27451,9.2186,-3.2863,-4.8448,0
-1.5055,0.070346,6.8681,-0.50648,0
-0.12196,8.8068,0.94566,-4.2267,0
4.2475,1.4816,-0.48355,0.95343,0
-3.8953,4.0392,-0.3019,-2.1836,1
2.4486,-6.3175,7.9632,0.20602,0
0.4339,5.5395,2.033,-0.40432,0
-6.7387,6.9879,0.67833,-7.5887,1
-4.0786,2.9239,0.87026,-0.65389,1
-4.0173,-8.3123,12.4547,-1.4375,1
-2.3277,1.4381,-0.82114,-1.2862,1
1.4501,3.6067,-4.0557,-1.5966,1
0.75108,1.9161,-3.1098,-0.20518,1
0.33325,3.3108,-4.5081,-4.012,1
-3.4917,-12.1736,14.3689,-0.61639,1
-0.8734,1.6533,-2.1964,-0.78061,1
5.7403,-0.44284,0.38015,1.3763,0
2.4391,6.4417,-0.80743,-0.69139,0
-4.3967,4.9601,-0.64892,-5.4719,1
-2.8391,-6.63,10.4849,-0.42113,1
-3.4083,4.8587,-0.76888,-4.8668,1
-1.6244,-6.3444,4.6575,0.16981,1
1.1166,8.6496,-0.96252,-1.8112,0
4.3634,0.46351,1.4281,2.0202,0
2.2928,9.0386,-3.2417,-1.2991,0
-1.2568,-1.4733,2.8718,0.44653,1
-2.484,12.1611,2.8204,-3.7418,0
4.0972,0.46972,1.6671,0.91593,0
4.1197,-2.7956,2.0707,0.67412,0
3.6941,-3.9482,4.2625,1.1577,0
2.3969,0.23589,4.8477,1.437,0
2.7206,9.0821,-3.3111,-0.96811,0
2.5635,6.7769,-0.61979,0.38576,0
3.9433,2.5017,1.5215,0.903,0
-2.6649,-12.813,12.6689,-1.9082,1
4.8906,-3.3584,3.4202,1.0905,0
-1.8343,-6.5907,5.6429,0.54998,1
0.75736,3.0294,2.9164,-0.068117,0
2.0466,2.03,2.1761,-0.083634,0
-2.4473,12.6247,0.73573,-7.6612,0
-1.8046,-6.8141,6.7019,1.1681,1
4.2188,6.8162,-1.2804,0.76076,0
1.3234,3.2964,0.2362,-0.11984,0
-0.69078,-0.50077,-0.35417,0.47498,1
-1.3,10.2678,-2.953,-5.8638,0
2.565,8.633,-2.9941,-1.3082,0
2.1059,7.6046,-0.47755,-1.8461,0
3.4916,8.5709,-3.0326,-0.59182,0
-2.0897,10.8265,2.3603,-3.4198,0
3.7935,7.9853,-2.5477,-1.872,0
2.0153,1.8479,3.1375,0.42843,0
1.8205,6.7562,0.0099913,0.39481,0
4.9852,8.3516,-2.5425,-1.2823,0
-1.979,3.2301,-1.3575,-2.5819,1
1.602,6.1251,0.52924,0.47886,0
-0.89569,3.0025,-3.6067,-3.4457,1
1.143,0.83391,5.4552,-0.56984,0
-1.3931,1.5664,7.5382,0.78403,0
-1.6637,3.2881,-2.2701,-2.2224,1
3.3004,7.0811,-1.3258,0.22283,0
-3.3458,-0.50491,2.6328,0.53705,1
2.5678,3.5136,0.61406,-0.40691,0
2.5559,3.3605,2.0321,0.26809,0
2.9421,7.4101,-0.97709,-0.88406,0
4.5447,8.2274,-2.4166,-1.5875,0
-0.86339,1.9348,-2.3729,-1.0897,1
-2.7908,-5.7133,5.953,0.45946,1
2.6606,3.1681,1.9619,0.18662,0
1.3114,4.5462,2.2935,0.22541,0
-4.0679,2.4955,0.79571,-1.1039,1
-1.0116,-0.19038,-0.90597,0.003003,1
1.7875,4.78,-5.1362,-3.2362,1
-0.21394,-0.68287,0.096532,1.1965,1
3.9772,0.33521,2.2566,2.1625,0
-2.5419,-0.65804,2.6842,1.1952,1
-1.4106,-7.108,5.6454,0.31335,1
0.7057,-5.4981,8.3368,-2.8715,0
-1.5877,-6.6072,5.8022,0.31593,1
3.757,-5.4236,3.8255,-1.2526,0
-2.9098,-10.0712,8.4156,-1.9948,1
-0.36506,2.8928,-3.6461,-3.0603,1
3.8496,9.7939,-4.1508,-4.4582,0
-2.1652,3.0211,-2.4132,-2.4241,1
1.7425,3.6833,-4.0129,-1.7207,1
1.296,4.2855,-4.8457,-2.9013,1
1.162,10.2926,-1.2821,-4.0392,0
-2.2214,-0.23798,0.56008,0.05602,1
2.3066,3.5364,0.57551,0.41938,0
3.744,0.79459,0.95851,1.0077,0
-0.94255,0.039307,-0.24192,0.31593,1
0.74307,11.17,-1.3824,-4.0728,0
-1.8483,0.31038,0.77344,1.4189,1
-3.5798,0.45937,2.3457,-0.45734,1
2.2429,-4.1427,5.2333,-0.40173,0
4.0047,0.45937,1.3621,1.6181,0
3.9292,-2.9156,2.2129,0.30817,0
3.6667,4.302,0.55923,0.33791,0
-3.8894,-7.8322,9.8208,0.47498,1
3.2718,1.7837,2.1161,0.61334,0
2.0007,1.8644,2.6491,0.47369,0
3.5829,1.4423,1.0219,1.4008,0
1.5077,1.9596,-3.0584,-0.12243,1
0.98296,3.4226,-3.9692,-1.7116,1
2.8232,10.8513,-3.1466,-3.9784,0
-1.6162,0.80908,8.1628,0.60817,0
1.4806,7.6377,-2.7876,-1.0341,0
-2.5899,-0.3911,0.93452,0.42972,1
-0.93587,-5.1008,4.5367,1.3866,1
-3.3863,-12.9889,13.0545,-2.7202,1
-0.36038,4.1158,3.1143,-0.37199,0
4.8278,7.7598,-2.4491,-1.2216,0
1.6988,2.9094,2.9044,0.11033,0
-1.5768,10.843,2.5462,-2.9362,0
4.364,-3.1039,2.3757,0.78532,0
3.7818,-2.8846,2.2558,-0.15734,0
-0.62684,-6.301,4.7843,1.106,1
-0.24745,1.9368,-2.4697,-0.80518,1
4.3937,0.35798,2.0416,1.2004,0
-3.0193,1.7775,0.73745,-0.45346,1
-2.1668,1.5933,0.045122,-1.678,1
-6.0598,9.2952,-0.43642,-6.3694,1
5.2423,11.0272,-4.353,-4.1013,0
1.105,7.4432,0.41099,-3.0332,0
-0.7056,8.7241,2.2215,-4.5965,0
0.96708,3.8426,-4.9314,-4.1323,1
4.9264,5.496,-2.4774,-0.50648,0
1.2616,4.4303,-1.3335,-1.7517,0
