location,indicator,subject,measure,frequency,time,value
TUR,MEATCONSUMP,BEEF,THND_TONNE,A,1993,334.276100976563
CAN,MEATCONSUMP,SHEEP,KG_CAP,A,2014,0.922149665066954
IND,MEATCONSUMP,POULTRY,THND_TONNE,A,2006,1554.19907460938
PHL,MEATCONSUMP,SHEEP,KG_CAP,A,2025,0.532678121154677
ZAF,MEATCONSUMP,PIG,KG_CAP,A,2022,3.54151138778395
ARG,MEATCONSUMP,BEEF,KG_CAP,A,2017,39.6399097550022
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2004,22.6155635328181
IND,MEATCONSUMP,BEEF,THND_TONNE,A,1992,2091.77402578125
PHL,MEATCONSUMP,BEEF,KG_CAP,A,2012,2.90188938990098
EU27,MEATCONSUMP,BEEF,THND_TONNE,A,2025,6570.51297855137
IRN,MEATCONSUMP,POULTRY,THND_TONNE,A,2028,2515.7422886503
USA,MEATCONSUMP,BEEF,KG_CAP,A,2003,29.7807308339352
IND,MEATCONSUMP,BEEF,THND_TONNE,A,2024,1116.41355356045
ISR,MEATCONSUMP,BEEF,THND_TONNE,A,1999,113.355103356934
NZL,MEATCONSUMP,BEEF,THND_TONNE,A,1995,148.142346909613
CAN,MEATCONSUMP,PIG,KG_CAP,A,2026,15.5801637340427
MEX,MEATCONSUMP,PIG,KG_CAP,A,2025,14.3438479223859
JPN,MEATCONSUMP,PIG,KG_CAP,A,1998,12.5848212093381
PRY,MEATCONSUMP,POULTRY,KG_CAP,A,1992,4.00343466505577
IRN,MEATCONSUMP,POULTRY,KG_CAP,A,2006,16.7562532310194
UKR,MEATCONSUMP,POULTRY,THND_TONNE,A,2005,667.269081933594
SAU,MEATCONSUMP,POULTRY,THND_TONNE,A,1993,450.339089257813
UKR,MEATCONSUMP,PIG,KG_CAP,A,2012,16.069200380613
SAU,MEATCONSUMP,PIG,THND_TONNE,A,2007,5.40909991989136
UKR,MEATCONSUMP,BEEF,KG_CAP,A,2028,5.37539392330194
GBR,MEATCONSUMP,POULTRY,KG_CAP,A,2007,23.3706082467149
KOR,MEATCONSUMP,SHEEP,KG_CAP,A,1999,0.127518083153215
VNM,MEATCONSUMP,POULTRY,KG_CAP,A,2024,14.2279664552691
JPN,MEATCONSUMP,PIG,KG_CAP,A,2009,14.1576809427707
PER,MEATCONSUMP,POULTRY,THND_TONNE,A,2011,1124.77207265625
KAZ,MEATCONSUMP,POULTRY,KG_CAP,A,2026,17.057092182207
BRA,MEATCONSUMP,BEEF,THND_TONNE,A,1996,6224.34577965007
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2026,19.4991001682261
IDN,MEATCONSUMP,BEEF,THND_TONNE,A,2020,783.520660055294
NGA,MEATCONSUMP,PIG,KG_CAP,A,2011,1.16793352560472
PRY,MEATCONSUMP,POULTRY,THND_TONNE,A,2019,42.0206655720513
USA,MEATCONSUMP,PIG,THND_TONNE,A,2009,8998.3801
PHL,MEATCONSUMP,POULTRY,KG_CAP,A,2015,12.214833256757
RUS,MEATCONSUMP,BEEF,KG_CAP,A,2020,10.2599188783718
RUS,MEATCONSUMP,PIG,KG_CAP,A,2012,18.3217381718192
PER,MEATCONSUMP,BEEF,KG_CAP,A,2015,4.50519648075276
RUS,MEATCONSUMP,POULTRY,KG_CAP,A,2024,31.9506818690633
WLD,MEATCONSUMP,BEEF,KG_CAP,A,2008,6.80665891545904
UKR,MEATCONSUMP,PIG,KG_CAP,A,2017,13.0104072363629
TUR,MEATCONSUMP,PIG,KG_CAP,A,2012,1.9873979484e-06
MEX,MEATCONSUMP,PIG,THND_TONNE,A,2020,2361.79294873067
MEX,MEATCONSUMP,SHEEP,KG_CAP,A,1994,0.67127515536229
CHL,MEATCONSUMP,BEEF,THND_TONNE,A,1991,241.61809621582
IDN,MEATCONSUMP,POULTRY,KG_CAP,A,1990,2.46827287118786
JPN,MEATCONSUMP,SHEEP,KG_CAP,A,2006,0.366504638208465
IND,MEATCONSUMP,SHEEP,KG_CAP,A,1996,0.596133423775615
KOR,MEATCONSUMP,SHEEP,KG_CAP,A,2006,0.105074179605919
AUS,MEATCONSUMP,POULTRY,KG_CAP,A,2011,39.6017036529553
NOR,MEATCONSUMP,BEEF,THND_TONNE,A,2023,108.946386486506
CHE,MEATCONSUMP,BEEF,KG_CAP,A,1993,17.5221446336398
BRICS,MEATCONSUMP,PIG,KG_CAP,A,2001,12.9613149754893
ETH,MEATCONSUMP,POULTRY,KG_CAP,A,2017,0.114874825795503
NOR,MEATCONSUMP,PIG,KG_CAP,A,2009,21.3007873879712
USA,MEATCONSUMP,BEEF,THND_TONNE,A,1997,11767.6766156807
GBR,MEATCONSUMP,PIG,KG_CAP,A,2007,18.4281210358035
NOR,MEATCONSUMP,POULTRY,THND_TONNE,A,2002,45.8650999052286
RUS,MEATCONSUMP,SHEEP,KG_CAP,A,2027,1.5404533153164
CHE,MEATCONSUMP,SHEEP,THND_TONNE,A,2005,13.0690102441406
EU27,MEATCONSUMP,BEEF,THND_TONNE,A,2008,7290.0350058953
COL,MEATCONSUMP,BEEF,THND_TONNE,A,2028,890.578127131611
VNM,MEATCONSUMP,SHEEP,KG_CAP,A,2025,0.213690316783954
WLD,MEATCONSUMP,PIG,KG_CAP,A,2002,11.5920453593094
CHN,MEATCONSUMP,PIG,KG_CAP,A,1991,15.9007098555411
ARG,MEATCONSUMP,BEEF,THND_TONNE,A,1999,2383.9078068225
IND,MEATCONSUMP,POULTRY,THND_TONNE,A,2008,1916.97007070313
IRN,MEATCONSUMP,BEEF,THND_TONNE,A,1999,327.408089501953
PHL,MEATCONSUMP,SHEEP,THND_TONNE,A,2026,72.5515936465989
OECD,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.34896767606537
KAZ,MEATCONSUMP,PIG,KG_CAP,A,1997,4.21914015392856
ISR,MEATCONSUMP,SHEEP,KG_CAP,A,2012,1.77998975133891
THA,MEATCONSUMP,PIG,KG_CAP,A,2019,9.99085890471849
USA,MEATCONSUMP,SHEEP,THND_TONNE,A,1993,172.811592791501
PAK,MEATCONSUMP,SHEEP,KG_CAP,A,2022,2.02360864051728
THA,MEATCONSUMP,PIG,THND_TONNE,A,1993,457.627114160156
UKR,MEATCONSUMP,SHEEP,KG_CAP,A,2020,0.287140641180485
VNM,MEATCONSUMP,POULTRY,THND_TONNE,A,2002,430.243111474609
PHL,MEATCONSUMP,SHEEP,THND_TONNE,A,2019,63.4331752920351
PHL,MEATCONSUMP,BEEF,THND_TONNE,A,2000,374.938118798828
ZAF,MEATCONSUMP,POULTRY,KG_CAP,A,2010,29.4538118635975
PAK,MEATCONSUMP,POULTRY,THND_TONNE,A,1999,314.77109609375
PHL,MEATCONSUMP,BEEF,THND_TONNE,A,1999,345.737099511719
ISR,MEATCONSUMP,POULTRY,THND_TONNE,A,2018,623.077065332031
ARG,MEATCONSUMP,PIG,KG_CAP,A,2011,6.52850680436237
SAU,MEATCONSUMP,SHEEP,THND_TONNE,A,2005,168.002953393555
PER,MEATCONSUMP,BEEF,KG_CAP,A,2005,4.10261050377993
THA,MEATCONSUMP,POULTRY,KG_CAP,A,1991,10.755036056594
JPN,MEATCONSUMP,SHEEP,THND_TONNE,A,1993,95.9791
CHL,MEATCONSUMP,PIG,THND_TONNE,A,2025,515.081455887875
TUR,MEATCONSUMP,SHEEP,KG_CAP,A,2021,4.27842389027042
MEX,MEATCONSUMP,SHEEP,THND_TONNE,A,2013,74.9550121337341
BRA,MEATCONSUMP,POULTRY,THND_TONNE,A,2004,6304.6137260625
MEX,MEATCONSUMP,POULTRY,KG_CAP,A,1999,16.944430280906
PRY,MEATCONSUMP,PIG,KG_CAP,A,1993,21.7743714929828
CHL,MEATCONSUMP,POULTRY,THND_TONNE,A,2009,525.27304921875
GBR,MEATCONSUMP,SHEEP,THND_TONNE,A,1999,0.0001
THA,MEATCONSUMP,BEEF,THND_TONNE,A,2007,184.151085717773
IND,MEATCONSUMP,PIG,KG_CAP,A,2010,0.234359190504547
USA,MEATCONSUMP,POULTRY,KG_CAP,A,1994,39.1259450088412
IND,MEATCONSUMP,BEEF,THND_TONNE,A,2011,1339.877053125
PRY,MEATCONSUMP,SHEEP,KG_CAP,A,2020,0.500071944292353
MYS,MEATCONSUMP,SHEEP,THND_TONNE,A,2013,30.0301006866455
IDN,MEATCONSUMP,BEEF,KG_CAP,A,2018,1.98249635436634
NGA,MEATCONSUMP,PIG,KG_CAP,A,1993,0.888120037913671
AUS,MEATCONSUMP,SHEEP,THND_TONNE,A,1994,374.26518772
KOR,MEATCONSUMP,POULTRY,THND_TONNE,A,2011,803.229092462159
IND,MEATCONSUMP,SHEEP,KG_CAP,A,1991,0.605634543804233
NGA,MEATCONSUMP,BEEF,KG_CAP,A,2021,1.34430586637893
CAN,MEATCONSUMP,PIG,KG_CAP,A,2012,17.445309743743
ZAF,MEATCONSUMP,POULTRY,KG_CAP,A,2003,19.4312716932197
PAK,MEATCONSUMP,POULTRY,KG_CAP,A,1999,2.04569537236338
GBR,MEATCONSUMP,SHEEP,THND_TONNE,A,2024,321.804300661856
EGY,MEATCONSUMP,SHEEP,KG_CAP,A,2021,1.09874255109436
ETH,MEATCONSUMP,SHEEP,THND_TONNE,A,1990,59.2901009155273
ETH,MEATCONSUMP,BEEF,KG_CAP,A,2004,3.15200981276128
PAK,MEATCONSUMP,PIG,KG_CAP,A,1996,0.0001059089801475
PRY,MEATCONSUMP,SHEEP,KG_CAP,A,2000,0.541687828898298
NZL,MEATCONSUMP,SHEEP,THND_TONNE,A,2009,31.3655301789558
COL,MEATCONSUMP,PIG,THND_TONNE,A,2018,505.140114648438
AUS,MEATCONSUMP,SHEEP,THND_TONNE,A,2019,205.528035486768
PER,MEATCONSUMP,POULTRY,KG_CAP,A,1990,10.0439017672895
CHL,MEATCONSUMP,BEEF,THND_TONNE,A,2013,427.419075830078
IDN,MEATCONSUMP,PIG,KG_CAP,A,2019,1.00556646599705
PER,MEATCONSUMP,PIG,THND_TONNE,A,2026,211.354171299687
COL,MEATCONSUMP,BEEF,KG_CAP,A,2022,11.1607539027893
OECD,MEATCONSUMP,BEEF,KG_CAP,A,2008,15.1716143411617
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2020,12883.0881035237
OECD,MEATCONSUMP,PIG,KG_CAP,A,2012,22.2381129842796
PER,MEATCONSUMP,SHEEP,THND_TONNE,A,2019,39.6767687694586
CHN,MEATCONSUMP,POULTRY,KG_CAP,A,2013,11.7126486038869
EGY,MEATCONSUMP,PIG,KG_CAP,A,2003,0.0278454132372873
PHL,MEATCONSUMP,PIG,THND_TONNE,A,2003,1405.07602773438
ISR,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.67616264997936
VNM,MEATCONSUMP,PIG,THND_TONNE,A,2011,3117.69101796875
MEX,MEATCONSUMP,SHEEP,THND_TONNE,A,2022,80.9910496485437
ARG,MEATCONSUMP,POULTRY,THND_TONNE,A,2002,660.45559761376
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2002,145.494103295898
CAN,MEATCONSUMP,PIG,KG_CAP,A,2004,20.917469573858
ETH,MEATCONSUMP,SHEEP,KG_CAP,A,2023,0.359308779664616
RUS,MEATCONSUMP,POULTRY,THND_TONNE,A,2007,3313.698199
NZL,MEATCONSUMP,PIG,THND_TONNE,A,2016,104.24172368806
CAN,MEATCONSUMP,PIG,KG_CAP,A,2021,15.7906212504344
PAK,MEATCONSUMP,SHEEP,THND_TONNE,A,1997,434.009102685547
PER,MEATCONSUMP,SHEEP,THND_TONNE,A,2015,39.0680969787598
PAK,MEATCONSUMP,BEEF,KG_CAP,A,2027,6.71684713572716
EGY,MEATCONSUMP,SHEEP,KG_CAP,A,2007,1.65450019784853
IND,MEATCONSUMP,POULTRY,THND_TONNE,A,2023,4407.00405978248
NZL,MEATCONSUMP,PIG,KG_CAP,A,2027,19.4648950382324
AUS,MEATCONSUMP,PIG,THND_TONNE,A,2009,554.57557
ARG,MEATCONSUMP,POULTRY,THND_TONNE,A,2014,1777.8001
NGA,MEATCONSUMP,SHEEP,KG_CAP,A,2006,2.50376667039723
BRA,MEATCONSUMP,SHEEP,THND_TONNE,A,2020,133.270239171848
KAZ,MEATCONSUMP,BEEF,THND_TONNE,A,2010,479.838082177734
MEX,MEATCONSUMP,PIG,KG_CAP,A,1991,7.75395491007438
THA,MEATCONSUMP,SHEEP,THND_TONNE,A,2022,3.83343900684827
CHE,MEATCONSUMP,BEEF,THND_TONNE,A,1993,172.508017081703
EU27,MEATCONSUMP,POULTRY,KG_CAP,A,2011,19.7237040473696
ZAF,MEATCONSUMP,POULTRY,THND_TONNE,A,2014,2046.53513417969
PHL,MEATCONSUMP,POULTRY,THND_TONNE,A,1994,381.410103662109
ARG,MEATCONSUMP,PIG,THND_TONNE,A,2023,705.301260031951
PER,MEATCONSUMP,POULTRY,THND_TONNE,A,2021,1758.70047280033
SAU,MEATCONSUMP,PIG,KG_CAP,A,2005,0.154693852718425
EGY,MEATCONSUMP,BEEF,KG_CAP,A,2014,8.15957216822008
GBR,MEATCONSUMP,POULTRY,THND_TONNE,A,2020,2146.15062323421
PER,MEATCONSUMP,PIG,THND_TONNE,A,1999,66.4621056152344
CHL,MEATCONSUMP,POULTRY,THND_TONNE,A,2020,778.27660169191
NOR,MEATCONSUMP,BEEF,KG_CAP,A,1991,12.9745747402339
NOR,MEATCONSUMP,PIG,KG_CAP,A,1992,16.0457200400581
COL,MEATCONSUMP,SHEEP,THND_TONNE,A,2012,7.8130997253418
RUS,MEATCONSUMP,PIG,THND_TONNE,A,2028,3952.76086251608
KOR,MEATCONSUMP,SHEEP,KG_CAP,A,2005,0.109810984886894
WLD,MEATCONSUMP,SHEEP,THND_TONNE,A,2016,14698.3926253158
IRN,MEATCONSUMP,PIG,THND_TONNE,A,2008,0.204099996185303
GBR,MEATCONSUMP,PIG,THND_TONNE,A,2003,1402.66554387086
PRY,MEATCONSUMP,POULTRY,THND_TONNE,A,2010,36.052101953125
JPN,MEATCONSUMP,PIG,KG_CAP,A,2004,15.0510894482288
ARG,MEATCONSUMP,POULTRY,THND_TONNE,A,2020,1976.83343333333
PRY,MEATCONSUMP,PIG,THND_TONNE,A,2028,221.203750435795
IRN,MEATCONSUMP,BEEF,THND_TONNE,A,2000,310.874092919922
MYS,MEATCONSUMP,PIG,THND_TONNE,A,1999,168.989098413086
IRN,MEATCONSUMP,SHEEP,THND_TONNE,A,1996,410.450112207031
TUR,MEATCONSUMP,BEEF,THND_TONNE,A,1992,337.77011953125
KOR,MEATCONSUMP,POULTRY,KG_CAP,A,1996,9.08652600051693
UKR,MEATCONSUMP,SHEEP,KG_CAP,A,1995,0.660101033780461
IDN,MEATCONSUMP,SHEEP,THND_TONNE,A,1997,107.865105493164
NGA,MEATCONSUMP,BEEF,THND_TONNE,A,2003,309.207100732422
TUR,MEATCONSUMP,POULTRY,KG_CAP,A,2021,19.8811652225105
PAK,MEATCONSUMP,PIG,THND_TONNE,A,1997,0.0011000000474974
TUR,MEATCONSUMP,PIG,THND_TONNE,A,1995,0.341099990701675
CAN,MEATCONSUMP,SHEEP,KG_CAP,A,2024,0.916519665088748
VNM,MEATCONSUMP,SHEEP,THND_TONNE,A,1991,2.34009991416931
PRY,MEATCONSUMP,PIG,KG_CAP,A,2014,21.4720262669963
THA,MEATCONSUMP,PIG,THND_TONNE,A,2023,919.185080099728
CHN,MEATCONSUMP,BEEF,THND_TONNE,A,2014,6460.3382690979
BRA,MEATCONSUMP,PIG,KG_CAP,A,2019,12.2711994305261
NOR,MEATCONSUMP,SHEEP,THND_TONNE,A,1998,23.7050999728336
PHL,MEATCONSUMP,POULTRY,THND_TONNE,A,2009,916.297097070313
CHN,MEATCONSUMP,BEEF,THND_TONNE,A,2022,7958.39763857508
MEX,MEATCONSUMP,SHEEP,KG_CAP,A,2017,0.511742039555835
ARG,MEATCONSUMP,SHEEP,THND_TONNE,A,1997,65.8469219569463
IRN,MEATCONSUMP,BEEF,THND_TONNE,A,1993,325.120095117188
TUR,MEATCONSUMP,POULTRY,THND_TONNE,A,1996,427.02207265625
NGA,MEATCONSUMP,SHEEP,KG_CAP,A,1999,2.30084465451279
NGA,MEATCONSUMP,BEEF,KG_CAP,A,1991,1.473479903
ARG,MEATCONSUMP,BEEF,KG_CAP,A,1997,44.6393105379982
TUR,MEATCONSUMP,POULTRY,KG_CAP,A,2003,11.779154555459
THA,MEATCONSUMP,BEEF,THND_TONNE,A,2016,116.09710012207
CHN,MEATCONSUMP,POULTRY,KG_CAP,A,2012,11.5949381808841
CHE,MEATCONSUMP,SHEEP,THND_TONNE,A,2000,14.3260097367859
PER,MEATCONSUMP,BEEF,KG_CAP,A,2024,4.26839326193542
GBR,MEATCONSUMP,BEEF,THND_TONNE,A,2009,1022.20839921271
TUR,MEATCONSUMP,POULTRY,KG_CAP,A,1991,6.64826950335262
KAZ,MEATCONSUMP,PIG,THND_TONNE,A,2009,138.687096459961
CHE,MEATCONSUMP,SHEEP,KG_CAP,A,2026,1.12031256811818
USA,MEATCONSUMP,SHEEP,THND_TONNE,A,1997,150.775967093649
NOR,MEATCONSUMP,SHEEP,KG_CAP,A,2023,4.45256862180229
PER,MEATCONSUMP,POULTRY,KG_CAP,A,1998,16.5231823379
THA,MEATCONSUMP,POULTRY,KG_CAP,A,2020,8.05393008326754
BRICS,MEATCONSUMP,POULTRY,KG_CAP,A,2022,11.2936654876424
UKR,MEATCONSUMP,POULTRY,THND_TONNE,A,2025,1203.95512401897
COL,MEATCONSUMP,SHEEP,KG_CAP,A,2011,0.203624459850447
IND,MEATCONSUMP,BEEF,THND_TONNE,A,2005,1779.84604726563
PRY,MEATCONSUMP,PIG,KG_CAP,A,2002,21.3258627068683
BRA,MEATCONSUMP,PIG,THND_TONNE,A,2010,2762.814866
COL,MEATCONSUMP,PIG,THND_TONNE,A,1998,82.3780983520508
CHE,MEATCONSUMP,SHEEP,THND_TONNE,A,2009,11.7501002594659
ZAF,MEATCONSUMP,POULTRY,THND_TONNE,A,2017,2152.92417226563
USA,MEATCONSUMP,BEEF,THND_TONNE,A,2013,11569.1430815569
ZAF,MEATCONSUMP,PIG,KG_CAP,A,1992,2.56126472122279
SAU,MEATCONSUMP,BEEF,THND_TONNE,A,2022,211.228975644676
CAN,MEATCONSUMP,PIG,KG_CAP,A,2016,16.2477304142939
PRY,MEATCONSUMP,PIG,KG_CAP,A,2016,21.9002487284396
CHN,MEATCONSUMP,SHEEP,THND_TONNE,A,2005,3461.31919179688
USA,MEATCONSUMP,SHEEP,KG_CAP,A,1992,0.602285448298296
WLD,MEATCONSUMP,BEEF,KG_CAP,A,2021,6.45565132611571
KAZ,MEATCONSUMP,POULTRY,KG_CAP,A,2005,8.82766188631568
UKR,MEATCONSUMP,PIG,THND_TONNE,A,2008,799.512123925781
UKR,MEATCONSUMP,PIG,KG_CAP,A,2008,13.5022226416191
GBR,MEATCONSUMP,BEEF,THND_TONNE,A,2003,999.685297389983
BRA,MEATCONSUMP,SHEEP,THND_TONNE,A,1996,103.502098275518
TUR,MEATCONSUMP,POULTRY,KG_CAP,A,2014,17.501314667259
IRN,MEATCONSUMP,BEEF,THND_TONNE,A,2009,467.746102197266
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2009,17.7784234438683
EU27,MEATCONSUMP,POULTRY,THND_TONNE,A,2023,11869.4700981195
IRN,MEATCONSUMP,BEEF,KG_CAP,A,2007,4.96105240997785
BRA,MEATCONSUMP,SHEEP,THND_TONNE,A,2001,104.733099191619
COL,MEATCONSUMP,POULTRY,THND_TONNE,A,1991,388.335121972656
WLD,MEATCONSUMP,SHEEP,THND_TONNE,A,2010,13252.0448826143
KOR,MEATCONSUMP,PIG,THND_TONNE,A,2009,1484.98416454406
AUS,MEATCONSUMP,POULTRY,KG_CAP,A,1996,24.5040820421324
BRICS,MEATCONSUMP,SHEEP,THND_TONNE,A,2015,5863.0893651827
IRN,MEATCONSUMP,PIG,KG_CAP,A,2010,0.0020303481892392
RUS,MEATCONSUMP,POULTRY,THND_TONNE,A,2002,2399.102833
MYS,MEATCONSUMP,PIG,THND_TONNE,A,1994,287.603096826172
NOR,MEATCONSUMP,POULTRY,THND_TONNE,A,2000,42.9831010086298
IDN,MEATCONSUMP,PIG,THND_TONNE,A,2007,230.742104394531
ZAF,MEATCONSUMP,SHEEP,KG_CAP,A,2022,2.61756463854306
BRICS,MEATCONSUMP,SHEEP,KG_CAP,A,2010,1.55880794349442
COL,MEATCONSUMP,PIG,KG_CAP,A,1994,2.88419967412147
IND,MEATCONSUMP,PIG,THND_TONNE,A,2014,350.438118798828
KAZ,MEATCONSUMP,POULTRY,KG_CAP,A,2021,15.614767625617
CAN,MEATCONSUMP,SHEEP,KG_CAP,A,2010,0.952407275577731
PHL,MEATCONSUMP,POULTRY,THND_TONNE,A,2003,680.552101953125
AUS,MEATCONSUMP,SHEEP,KG_CAP,A,2012,8.75431627080873
THA,MEATCONSUMP,BEEF,KG_CAP,A,2000,2.21657807075591
TUR,MEATCONSUMP,SHEEP,KG_CAP,A,2024,4.25316668317731
PAK,MEATCONSUMP,POULTRY,KG_CAP,A,2022,6.09852705906232
BRICS,MEATCONSUMP,SHEEP,THND_TONNE,A,2024,6843.02828850422
MEX,MEATCONSUMP,SHEEP,THND_TONNE,A,2018,77.246569099
MEX,MEATCONSUMP,SHEEP,THND_TONNE,A,2020,79.115943626371
PRY,MEATCONSUMP,BEEF,THND_TONNE,A,1993,192.905098779297
OECD,MEATCONSUMP,BEEF,KG_CAP,A,2009,14.8450081669966
EGY,MEATCONSUMP,SHEEP,KG_CAP,A,2027,1.15014467357064
BRA,MEATCONSUMP,BEEF,THND_TONNE,A,1990,4441.97826074774
GBR,MEATCONSUMP,BEEF,KG_CAP,A,2009,11.4081016984657
EU27,MEATCONSUMP,PIG,THND_TONNE,A,2017,19728.9792843789
UKR,MEATCONSUMP,PIG,THND_TONNE,A,2021,724.009743114446
COL,MEATCONSUMP,SHEEP,KG_CAP,A,2010,0.208339802914101
KAZ,MEATCONSUMP,SHEEP,THND_TONNE,A,1992,232.900093896484
EGY,MEATCONSUMP,POULTRY,THND_TONNE,A,2028,1823.81920126771
NOR,MEATCONSUMP,POULTRY,THND_TONNE,A,2018,104.551100095367
EU27,MEATCONSUMP,SHEEP,KG_CAP,A,2011,1.69597879256218
WLD,MEATCONSUMP,POULTRY,THND_TONNE,A,2014,112044.077652154
AUS,MEATCONSUMP,POULTRY,KG_CAP,A,2019,44.7674041728219
CHN,MEATCONSUMP,BEEF,KG_CAP,A,2025,3.97634556747569
EGY,MEATCONSUMP,BEEF,THND_TONNE,A,1997,637.372109277344
ISR,MEATCONSUMP,PIG,THND_TONNE,A,2010,18.867100579834
IRN,MEATCONSUMP,SHEEP,KG_CAP,A,1998,6.04551429694824
CHN,MEATCONSUMP,SHEEP,KG_CAP,A,1993,0.99138739823786
EGY,MEATCONSUMP,BEEF,KG_CAP,A,2004,7.4634955858362
BRA,MEATCONSUMP,PIG,KG_CAP,A,1990,5.54896669210877
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2001,146.713097436523
SAU,MEATCONSUMP,BEEF,KG_CAP,A,1998,2.88682963616098
IND,MEATCONSUMP,SHEEP,THND_TONNE,A,2016,722.370156152344
IDN,MEATCONSUMP,POULTRY,THND_TONNE,A,1997,899.470131738281
UKR,MEATCONSUMP,POULTRY,THND_TONNE,A,2009,1094.24607167969
CHN,MEATCONSUMP,BEEF,KG_CAP,A,2003,2.89687178109984
GBR,MEATCONSUMP,POULTRY,THND_TONNE,A,2011,1784.57782
ETH,MEATCONSUMP,SHEEP,KG_CAP,A,1997,0.855634053540202
ISR,MEATCONSUMP,PIG,KG_CAP,A,1990,1.5903561977045
ISR,MEATCONSUMP,BEEF,THND_TONNE,A,2001,132.906105859375
PAK,MEATCONSUMP,PIG,THND_TONNE,A,2018,0.0001900000013643
PHL,MEATCONSUMP,POULTRY,THND_TONNE,A,2025,1970.14787942359
SAU,MEATCONSUMP,POULTRY,THND_TONNE,A,2010,1237.30405507813
GBR,MEATCONSUMP,PIG,THND_TONNE,A,2023,1457.28576960401
UKR,MEATCONSUMP,PIG,KG_CAP,A,2019,12.5421457543804
CAN,MEATCONSUMP,POULTRY,KG_CAP,A,1998,27.0657422092433
IRN,MEATCONSUMP,POULTRY,KG_CAP,A,1997,10.2110953970508
MEX,MEATCONSUMP,PIG,THND_TONNE,A,2021,2401.80233693268
PER,MEATCONSUMP,BEEF,KG_CAP,A,2022,4.2188358395229
IDN,MEATCONSUMP,BEEF,KG_CAP,A,2010,1.70177787113189
KOR,MEATCONSUMP,SHEEP,KG_CAP,A,2020,0.307515795096881
PER,MEATCONSUMP,BEEF,THND_TONNE,A,2004,153.433098657227
NGA,MEATCONSUMP,PIG,THND_TONNE,A,1994,121.504097802734
ISR,MEATCONSUMP,POULTRY,KG_CAP,A,2012,64.2210783698161
CHN,MEATCONSUMP,BEEF,KG_CAP,A,2021,3.87078953140144
VNM,MEATCONSUMP,BEEF,KG_CAP,A,1999,1.57667970106143
COL,MEATCONSUMP,BEEF,THND_TONNE,A,2009,706.714089257813
OECD,MEATCONSUMP,SHEEP,THND_TONNE,A,2001,2591.20317121862
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2013,192.734108789063
ZAF,MEATCONSUMP,POULTRY,KG_CAP,A,2020,34.2847960450675
IDN,MEATCONSUMP,SHEEP,KG_CAP,A,2010,0.415264588698458
IRN,MEATCONSUMP,POULTRY,KG_CAP,A,2003,14.1523779972519
BRICS,MEATCONSUMP,BEEF,KG_CAP,A,2023,4.29166932638789
NZL,MEATCONSUMP,POULTRY,KG_CAP,A,1995,22.2678287730725
PRY,MEATCONSUMP,PIG,THND_TONNE,A,2011,166.165108544922
GBR,MEATCONSUMP,BEEF,KG_CAP,A,2021,11.7009877101974
USA,MEATCONSUMP,POULTRY,KG_CAP,A,2006,47.5170626629591
IDN,MEATCONSUMP,PIG,KG_CAP,A,2009,0.652684346840546
UKR,MEATCONSUMP,PIG,KG_CAP,A,2014,13.4051415131229
THA,MEATCONSUMP,PIG,KG_CAP,A,2010,10.2091534081577
ZAF,MEATCONSUMP,PIG,KG_CAP,A,2021,3.51395669092197
OECD,MEATCONSUMP,SHEEP,THND_TONNE,A,2002,2546.03718332491
PRY,MEATCONSUMP,PIG,THND_TONNE,A,2027,218.07952224946
ARG,MEATCONSUMP,PIG,THND_TONNE,A,2007,307.5361
KOR,MEATCONSUMP,POULTRY,THND_TONNE,A,2026,1171.46467312022
ARG,MEATCONSUMP,BEEF,THND_TONNE,A,2028,2665.75386715342
ETH,MEATCONSUMP,PIG,KG_CAP,A,2010,0.0161696096332728
RUS,MEATCONSUMP,BEEF,THND_TONNE,A,2009,2658.15238882534
PHL,MEATCONSUMP,BEEF,KG_CAP,A,2023,3.19571876804262
GBR,MEATCONSUMP,SHEEP,KG_CAP,A,2001,5.08271788847062
IDN,MEATCONSUMP,BEEF,THND_TONNE,A,2007,433.704079492188
IND,MEATCONSUMP,PIG,KG_CAP,A,2027,0.160459633827728
WLD,MEATCONSUMP,BEEF,KG_CAP,A,2028,6.49504368421268
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2003,23.1501790154642
TUR,MEATCONSUMP,BEEF,THND_TONNE,A,1991,372.965096337891
MYS,MEATCONSUMP,BEEF,KG_CAP,A,2000,4.11876950936276
CHE,MEATCONSUMP,BEEF,THND_TONNE,A,2023,165.278889306534
ZAF,MEATCONSUMP,SHEEP,KG_CAP,A,1995,3.25681318052599
NZL,MEATCONSUMP,PIG,THND_TONNE,A,1996,59.6100524721501
NOR,MEATCONSUMP,BEEF,KG_CAP,A,2016,14.1959873588662
